"rank","first","last","Pos","Team","year","init_rank"
228,"albert","wilson","WR","MIA",2018,84
229,"chad","williams","WR","ARI",2018,85
230,"austin","carr","WR","NO",2018,86
231,"travis","benjamin","WR","LAC",2018,87
232,"d.j.","chark","WR","JAC",2018,88
233,"tre'quan","smith","WR","NO",2018,89
234,"cordarrelle","patterson","WR","NE",2018,90
235,"jacquizz","rodgers","RB","TB",2018,72
236,"kyle","juszczyk","RB","SF",2018,73
237,"wayne","gallman","RB","NYG",2018,74
238,"elijah","mcguire","RB","NYJ",2018,75
239,"jonathan","stewart","RB","NYG",2018,76
240,"rod","smith","RB","DAL",2018,77
241,"damien","williams","RB","KC",2018,78
242,"john","kelly","RB","LAR",2018,79
243,"case","keenum","QB","DEN",2018,24
244,"eli","manning","QB","NYG",2018,25
245,"derek","carr","QB","OAK",2018,26
246,"eric","ebron","TE","IND",2018,23
247,"ryan","griffin","TE","HOU",2018,24
248,"jonnu","smith","TE","TEN",2018,25
249,"ian","thomas","TE","CAR",2018,26
250,"corey","grant","RB","JAC",2018,80
251,"dez","bryant","WR","FA",2018,91
252,"marquez","valdes-scantling","WR","GB",2018,92
255,"mason","crosby","K","GB",2018,15
256,"josh","lambo","K","JAC",2018,16
257,"will","dissly","TE","SEA",2018,27
258,"hayden","hurst","TE","BAL",2018,28
259,"greg","olsen","TE","CAR",2018,29
260,"justin","hunter","WR","PIT",2018,93
261,"deonte","thompson","WR","DAL",2018,94
262,"adam","humphries","WR","TB",2018,95
263,"zay","jones","WR","BUF",2018,96
264,"t.j.","logan","RB","ARI",2018,81
265,"c.j.","prosise","RB","SEA",2018,82
266,"blake","bortles","QB","JAC",2018,27
267,"joe","flacco","QB","BAL",2018,28
268,"sam","darnold","QB","NYJ",2018,29
269,"jameis","winston","QB","TB",2018,30
270,"sam","bradford","QB","ARI",2018,31
271,"jermaine","kearse","WR","NYJ",2018,97
272,"jeremy","kerley","WR","BUF",2018,98
273,"laquon","treadwell","WR","MIN",2018,99
274,"trent","taylor","WR","SF",2018,100
275,"torrey","smith","WR","CAR",2018,101
276,"robert","turbin","RB","IND",2018,83
277,"ito","smith","RB","ATL",2018,84
278,"kenneth","dixon","RB","BAL",2018,85
279,"christine","michael","RB","IND",2018,86
280,"rob","kelley","RB","WAS",2018,87
281,"jaylen","samuels","RB","PIT",2018,88
282,"malcolm","brown","RB","LAR",2018,89
283,"trenton","cannon","RB","NYJ",2018,90
284,"chester","rogers","WR","IND",2018,102
287,"dustin","hopkins","K","WAS",2018,17
288,"chandler","catanzaro","K","TB",2018,18
289,"geoff","swaim","TE","DAL",2018,30
290,"mike","gesicki","TE","MIA",2018,31
291,"vernon","davis","TE","WAS",2018,32
292,"luke","willson","TE","DET",2018,33
293,"dallas","goedert","TE","PHI",2018,34
294,"seth","roberts","WR","OAK",2018,103
295,"jarius","wright","WR","CAR",2018,104
296,"josh","allen","QB","BUF",2018,32
